bc/std,inwoners (x 1.000),gemiddeld persoonlijk inkomen (x 1.000 euro),personen met een heel jaar inkomen (x 1.000),gemiddeld persoonlijk inkomen per persoon met een heel jaar inkomen (x 1.000 euro),huishoudens (x 1.000),gemiddeld besteedbaar inkomen per huishouden (x 1.000 euro),index gestandaardiseerd inkomen huishoudens (Ned.=100)
A00 Burgwallen-Oude Zijde,3.9,24.8,2.9,31.8,2.2,27.5,97.9
A01 Burgwallen-Nieuwe Zijde,4.5,25.1,3.0,33.7,2.3,27.6,98.7
A02 Grachtengordel-West,6.9,41.5,4.9,57.1,3.7,47.3,160.3
A03 Grachtengordel-Zuid,4.3,40.2,3.1,55.1,2.2,48.4,161.5
A04 Nieuwmarkt/Lastage,9.0,28.3,6.8,36.7,5.1,31.8,109.2
A05 Haarlemmerbuurt,9.1,28.5,6.8,37.6,5.1,32.9,110.5
A06 Jordaan,19.0,27.9,14.5,35.3,11.3,29.5,102.5
A07 De Weteringschans,7.1,33.5,5.3,43.8,3.9,36.3,123.0
A08 Weesperbuurt/Plantage,7.5,27.4,4.9,39.0,3.6,33.4,113.4
A09 Oostelijke Eilanden/Kadijken,12.8,24.2,9.3,32.6,6.6,30.1,99.6
A Centrum,84.0,29.3,61.4,38.8,46.0,33.3,113.4
B10 Westelijk Havengebied,0.2,16.3,0.2,23.0,0.1,18.4,64.4
B11 Bedrijventerrein Sloterdijk,0.2,12.1,x,x,x,x,x
B Westpoort,0.4,14.4,0.3,21.6,0.2,17.4,61.1
E12 Houthavens,1.9,16.1,1.0,30.4,0.5,32.7,110.9
E13 Spaarndammer- en Zeeheldenbuurt,10.3,20.5,7.6,27.0,5.6,25.5,84.5
E14 Staatsliedenbuurt,12.1,24.0,9.2,30.8,6.9,26.9,91.6
E15 Centrale Markt,2.6,23.2,1.9,31.6,1.2,32.7,100.4
E16 Frederik Hendrikbuurt,7.9,24.7,6.1,31.1,4.6,26.8,92.5
E17 Da Costabuurt,4.4,27.9,3.5,34.9,2.5,30.6,104.6
E18 Kinkerbuurt,5.2,23.9,4.0,29.9,3.0,26.5,92.1
E19 Van Lennepbuurt,6.8,22.4,5.3,28.0,4.0,24.9,86.2
E20 Helmersbuurt,7.2,30.0,5.4,39.1,3.9,33.8,111.3
E21 Overtoomse Sluis,7.5,27.8,5.7,35.6,4.1,30.8,104.2
E22 Vondelbuurt,1.7,37.6,1.1,54.7,0.8,47.1,149.0
E36 Sloterdijk,0.1,x,x,x,x,x,x
E37 Landlust,18.3,18.5,12.7,25.9,8.9,25.5,82.4
E38 Erasmuspark,5.7,22.2,4.2,29.3,2.9,27.4,91.2
E39 De Kolenkit,7.2,13.6,4.3,21.9,2.8,24.8,74.1
E40 De Krommert,12.1,21.8,8.9,29.0,6.0,28.5,92.9
E41 Van Galenbuurt,5.5,19.7,4.1,25.9,3.1,23.8,81.6
E42 Hoofdweg e.o.,10.0,20.2,7.2,27.2,5.4,24.6,83.3
E43 Westindische Buurt,6.5,25.2,5.0,32.0,3.4,30.0,100.0
E West,133,22.4,97.3,29.8,69.9,27.5,91.6
F75 Spieringhorn,0.0,x,x,x,x,x,x
F76 Slotermeer-Noordoost,9.3,15.8,6.0,23.9,4.2,24.9,77.8
F77 Slotermeer-Zuidwest,16.5,16.0,10.8,23.6,7.4,25.0,77.8
F78 Geuzenveld,13.2,15.5,8.3,23.8,5.3,26.8,79.5
F79 Eendracht,2.3,21.6,1.7,29.5,0.9,36.1,102.5
F80 Lutkemeer/Ookmeer,0.9,22.8,0.6,32.1,0.3,39.1,106.3
F81 Osdorp-Oost,15.4,19.3,11.2,26.1,7.6,27.6,88.7
F82 Osdorp-Midden,13.9,17.3,9.0,25.9,6.0,27.3,83.7
F83 De Punt,5.1,17.3,3.4,24.7,2.3,26.7,82.8
F84 Middelveldsche Akerpolder/Sloten,14.9,23.4,9.9,34.6,5.7,39.2,108.8
F85 Slotervaart,16.8,18.7,11.0,27.3,7.4,28.9,89.1
F86 Overtoomse Veld,10.4,16.1,6.4,25.0,4.1,28.3,85.4
F87 Westlandgracht,5.8,22.4,3.8,33.8,2.7,31.5,102.5
F88 Sloter-/Riekerpolder,13.4,24.3,9.2,34.7,5.6,37.9,109.2
F Nieuw-West,137.9,18.8,91.2,27.7,59.6,29.6,89.5
K24 Oude Pijp,14.1,26.4,10.8,33.4,7.9,28.7,99.2
